order_id,order_date,customer_age,gender,country,product_category,quantity,unit_price,discount,payment_method,total_price,is_returned
1,2022-01-01 00:00:00,62,Male,Canada,Food,5,28.5,0.13,Net Banking,123.98,0
2,2022-01-01 01:00:00,65,Female,Canada,Clothing,8,45.81,0.12,Net Banking,322.5,0
3,2022-01-01 02:00:00,18,Female,India,Books,3,251.15,0.19,Credit Card,610.29,1
4,2022-01-01 03:00:00,21,Female,Germany,Clothing,3,203.96,0.5,Cash,305.94,0
5,2022-01-01 04:00:00,21,Male,Canada,Furniture,6,399.64,0.04,Net Banking,2301.93,0
6,2022-01-01 05:00:00,57,Female,USA,Books,6,131.23,0.26,Cash,582.66,0
7,2022-01-01 06:00:00,27,Female,Germany,Clothing,6,133.2,0.28,Cash,575.42,0
8,2022-01-01 07:00:00,37,Female,Canada,Food,3,7.34,0.12,Debit Card,19.38,0
9,2022-01-01 08:00:00,39,Female,Canada,Clothing,1,133.96,0.34,UPI,88.41,0
10,2022-01-01 09:00:00,68,Female,USA,Furniture,9,131.68,0.18,Credit Card,971.8,0
11,2022-01-01 10:00:00,54,Female,UK,Clothing,7,157.98,0.23,Debit Card,851.51,0
12,2022-01-01 11:00:00,41,Male,UK,Food,9,180.25,0.5,Net Banking,811.12,0
13,2022-01-01 12:00:00,24,Female,Germany,Books,6,153.3,0.09,Cash,837.02,1
14,2022-01-01 13:00:00,42,Female,India,Furniture,4,21.26,0.15,UPI,72.28,0
15,2022-01-01 14:00:00,42,Female,Germany,Furniture,9,171.08,0.45,Debit Card,846.85,0
16,2022-01-01 15:00:00,30,Male,UK,Books,7,441.68,0.04,UPI,2968.09,0
17,2022-01-01 16:00:00,19,Female,USA,Electronics,1,307.28,0.26,Net Banking,227.39,1
18,2022-01-01 17:00:00,56,Female,UK,Clothing,2,279.61,0.39,Credit Card,341.12,0
19,2022-01-01 18:00:00,57,Female,India,Furniture,2,101.17,0.32,Credit Card,137.59,0
20,2022-01-01 19:00:00,41,Female,Germany,Furniture,4,280.78,0.4,Credit Card,673.87,0
21,2022-01-01 20:00:00,64,Female,Canada,Furniture,8,213.16,0.16,Credit Card,1432.44,0
22,2022-01-01 21:00:00,42,Male,Germany,Books,6,249.59,0.33,UPI,1003.35,0
23,2022-01-01 22:00:00,35,Female,UK,Electronics,1,216.69,0.35,Debit Card,140.85,0
24,2022-01-01 23:00:00,55,Female,India,Food,8,194.4,0.06,UPI,1461.89,0
25,2022-01-02 00:00:00,43,Male,USA,Food,9,66.49,0.32,Debit Card,406.92,0
26,2022-01-02 01:00:00,31,Female,USA,Furniture,8,286.81,0.31,UPI,1583.19,0
27,2022-01-02 02:00:00,26,Male,India,Food,5,435.61,0.48,Cash,1132.59,0
28,2022-01-02 03:00:00,27,Female,Germany,Furniture,6,85.33,0.45,UPI,281.59,0
29,2022-01-02 04:00:00,38,Female,India,Furniture,6,255.02,0.17,UPI,1270.0,0
30,2022-01-02 05:00:00,69,Male,USA,Furniture,6,448.83,0.06,Debit Card,2531.4,0
31,2022-01-02 06:00:00,34,Female,India,Furniture,7,396.08,0.19,Cash,2245.77,0
32,2022-01-02 07:00:00,69,Female,USA,Furniture,9,252.66,0.33,Debit Card,1523.54,0
33,2022-01-02 08:00:00,23,Male,Canada,Food,8,368.63,0.23,UPI,2270.76,0
34,2022-01-02 09:00:00,33,Female,Germany,Books,3,160.51,0.25,Debit Card,361.15,0
35,2022-01-02 10:00:00,65,Male,India,Clothing,4,93.57,0.47,UPI,198.37,0
36,2022-01-02 11:00:00,18,Male,Canada,Books,3,139.96,0.06,Cash,394.69,0
37,2022-01-02 12:00:00,36,Female,Germany,Food,9,172.35,0.34,Net Banking,1023.76,0
38,2022-01-02 13:00:00,53,Male,USA,Furniture,2,25.21,0.09,Debit Card,45.88,0
39,2022-01-02 14:00:00,42,Male,India,Clothing,2,327.48,0.48,Debit Card,340.58,0
40,2022-01-02 15:00:00,67,Female,Germany,Food,3,151.21,0.1,Credit Card,408.27,0
41,2022-01-02 16:00:00,69,Female,USA,Books,3,125.07,0.09,Net Banking,341.44,0
42,2022-01-02 17:00:00,47,Male,UK,Food,2,245.33,0.27,UPI,358.18,0
43,2022-01-02 18:00:00,37,Male,Canada,Clothing,7,108.1,0.46,UPI,408.62,0
44,2022-01-02 19:00:00,37,Male,Germany,Clothing,3,125.39,0.47,Net Banking,199.37,0
45,2022-01-02 20:00:00,32,Female,India,Clothing,3,477.8,0.25,Debit Card,1075.05,0
46,2022-01-02 21:00:00,57,Male,Canada,Furniture,9,417.4,0.41,Debit Card,2216.39,0
47,2022-01-02 22:00:00,50,Male,UK,Electronics,3,425.98,0.04,Cash,1226.82,0
48,2022-01-02 23:00:00,19,Female,USA,Clothing,9,128.92,0.39,Debit Card,707.77,0
49,2022-01-03 00:00:00,27,Female,Germany,Electronics,4,332.29,0.22,UPI,1036.74,0
50,2022-01-03 01:00:00,50,Female,Canada,Clothing,3,31.74,0.47,Net Banking,50.47,0
51,2022-01-03 02:00:00,49,Female,USA,Food,6,208.9,0.06,UPI,1178.2,0
52,2022-01-03 03:00:00,28,Male,UK,Food,3,114.07,0.27,Net Banking,249.81,0
53,2022-01-03 04:00:00,41,Female,India,Books,6,385.9,0.02,Debit Card,2269.09,0
54,2022-01-03 05:00:00,53,Male,India,Furniture,3,57.99,0.08,Net Banking,160.05,0
55,2022-01-03 06:00:00,29,Male,Canada,Electronics,7,253.53,0.38,UPI,1100.32,0
56,2022-01-03 07:00:00,68,Female,UK,Books,1,208.48,0.21,Net Banking,164.7,0
57,2022-01-03 08:00:00,46,Female,Germany,Furniture,1,276.53,0.45,Cash,152.09,1
58,2022-01-03 09:00:00,52,Male,Germany,Furniture,1,189.83,0.0,Cash,189.83,1
59,2022-01-03 10:00:00,18,Female,Canada,Electronics,8,24.53,0.0,Credit Card,196.24,0
60,2022-01-03 11:00:00,18,Male,USA,Clothing,2,385.18,0.13,Cash,670.21,0
61,2022-01-03 12:00:00,54,Female,India,Clothing,8,300.11,0.23,Debit Card,1848.68,0
62,2022-01-03 13:00:00,23,Male,India,Clothing,5,194.2,0.42,Debit Card,563.18,0
63,2022-01-03 14:00:00,56,Male,Germany,Electronics,9,120.84,0.2,Cash,870.05,0
64,2022-01-03 15:00:00,58,Male,USA,Electronics,7,15.65,0.02,Cash,107.36,0
65,2022-01-03 16:00:00,35,Female,Germany,Food,7,410.6,0.37,Debit Card,1810.75,0
66,2022-01-03 17:00:00,33,Male,UK,Food,8,81.56,0.22,Credit Card,508.93,1
67,2022-01-03 18:00:00,22,Male,Germany,Electronics,1,368.79,0.26,UPI,272.9,0
68,2022-01-03 19:00:00,59,Female,USA,Books,6,86.43,0.42,Cash,300.78,0
69,2022-01-03 20:00:00,60,Female,India,Clothing,4,408.69,0.3,Debit Card,1144.33,0
70,2022-01-03 21:00:00,49,Male,India,Clothing,2,93.23,0.17,UPI,154.76,0
71,2022-01-03 22:00:00,19,Male,Canada,Food,2,67.39,0.06,Credit Card,126.69,0
72,2022-01-03 23:00:00,19,Female,Germany,Furniture,4,188.24,0.07,Net Banking,700.25,0
73,2022-01-04 00:00:00,57,Male,USA,Electronics,8,31.4,0.29,UPI,178.35,0
74,2022-01-04 01:00:00,59,Female,Canada,Furniture,7,390.82,0.22,UPI,2133.88,0
75,2022-01-04 02:00:00,53,Male,India,Electronics,4,170.81,0.38,Credit Card,423.61,0
76,2022-01-04 03:00:00,56,Male,India,Electronics,4,60.54,0.14,UPI,208.26,0
77,2022-01-04 04:00:00,29,Female,UK,Furniture,9,375.43,0.21,Debit Card,2669.31,0
78,2022-01-04 05:00:00,64,Female,India,Furniture,4,152.65,0.16,Credit Card,512.9,0
79,2022-01-04 06:00:00,36,Female,Germany,Clothing,1,458.62,0.34,Debit Card,302.69,0
80,2022-01-04 07:00:00,45,Male,USA,Electronics,8,202.69,0.03,Debit Card,1572.87,0
81,2022-01-04 08:00:00,18,Female,UK,Furniture,7,350.77,0.42,Cash,1424.13,0
82,2022-01-04 09:00:00,32,Female,Canada,Furniture,5,351.01,0.03,Cash,1702.4,1
83,2022-01-04 10:00:00,53,Female,Canada,Electronics,6,422.5,0.44,Cash,1419.6,0
84,2022-01-04 11:00:00,30,Male,Canada,Food,5,406.03,0.08,UPI,1867.74,0
85,2022-01-04 12:00:00,60,Female,Germany,Electronics,3,266.17,0.05,Debit Card,758.58,0
86,2022-01-04 13:00:00,38,Male,India,Furniture,9,155.79,0.04,Debit Card,1346.03,0
87,2022-01-04 14:00:00,29,Male,Canada,Clothing,1,80.2,0.49,Credit Card,40.9,1
88,2022-01-04 15:00:00,22,Female,India,Electronics,5,81.59,0.4,UPI,244.77,0
89,2022-01-04 16:00:00,24,Male,UK,Electronics,5,342.01,0.22,Cash,1333.84,0
90,2022-01-04 17:00:00,22,Female,UK,Furniture,8,249.48,0.2,Debit Card,1596.67,0
91,2022-01-04 18:00:00,65,Male,UK,Books,9,300.3,0.49,Debit Card,1378.38,0
92,2022-01-04 19:00:00,21,Female,Canada,Books,4,389.73,0.34,Net Banking,1028.89,0
93,2022-01-04 20:00:00,30,Female,UK,Books,8,67.91,0.23,Debit Card,418.33,0
94,2022-01-04 21:00:00,54,Male,Germany,Food,9,172.01,0.43,Cash,882.41,0
95,2022-01-04 22:00:00,58,Female,India,Books,5,61.28,0.37,Net Banking,193.03,0
96,2022-01-04 23:00:00,32,Male,UK,Food,8,60.17,0.43,Cash,274.38,0
97,2022-01-05 00:00:00,33,Female,Germany,Furniture,1,382.35,0.05,Cash,363.23,0
98,2022-01-05 01:00:00,38,Female,UK,Clothing,4,325.82,0.08,UPI,1199.02,0
99,2022-01-05 02:00:00,53,Female,USA,Food,6,246.05,0.34,Credit Card,974.36,0
100,2022-01-05 03:00:00,41,Male,Canada,Books,6,252.52,0.4,Net Banking,909.07,0
101,2022-01-05 04:00:00,33,Female,Canada,Electronics,7,156.88,0.13,Net Banking,955.4,0
102,2022-01-05 05:00:00,31,Male,Germany,Furniture,3,374.05,0.19,Net Banking,908.94,0
103,2022-01-05 06:00:00,39,Female,USA,Books,8,92.51,0.12,UPI,651.27,0
104,2022-01-05 07:00:00,66,Male,Germany,Furniture,7,148.37,0.16,Credit Card,872.42,0
105,2022-01-05 08:00:00,67,Female,Canada,Clothing,4,263.72,0.35,Cash,685.67,0
